VST,ESOW,Stockholm Västerås Airport,"Stockholm / Västerås, Sweden"
EKT,ESSU,Eskilstuna Airport,"Eskilstuna, Sweden",UTC+01:00,Mar-Oct
NYO,ESKN,Stockholm Skavsta Airport,"Stockholm / Nyköping, Sweden",,
GOT,ESGG,Göteborg Landvetter Airport,"Gothenburg, Sweden",UTC+01:00,Mar-Oct
KLR,ESMQ,Kalmar Airport,"Kalmar, Sweden",UTC+01:00,Mar–Oct
IST,LTFM,Istanbul New Airport,"Istanbul, Turkey",UTC+03:00,
ARN,ESSA,Stockholm Arlanda Airport,"Stockholm, Sweden",UTC+01:00,Mar-Oct
HEL,EFHK,Helsinki Airport (Helsinki-Vantaa Airport),"Helsinki, Finland",UTC+02:00,Mar-Oct
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),"Ängelholm, Sweden",UTC+01:00,Mar-Oct
LHR,EGLL,Heathrow Airport,"London, England, United Kingdom",UTC±00:00,Mar-Oct
BRU,EBBR,Brussels Airport (Zaventem Airport),"Brussels, Belgium",UTC+01:00,Mar-Oct
BMA,ESSB,Stockholm Bromma Airport,"Stockholm, Sweden",UTC+01:00,Mar-Oct
NCE,LFMN,Nice Côte d'Azur Airport,"Nice, Provence-Alpes-Côte d'Azur, France",,
HAD,ESMT,Halmstad Airport (Halmstad City Airport),"Halmstad, Sweden",UTC+01:00,Mar-Oct
PMI,LEPA,Palma de Mallorca Airport,"Palma de Mallorca, Balearic Islands, Spain"
VBY,ESSV,Visby Airport,"Visby, Sweden"
OSL,ENGM,"Oslo Airport, Gardermoen","Oslo, Norway"
ALC,LEAL,Alicante–Elche Airport,"Alicante, Valencia, Spain",UTC+01:00,Mar-Oct
HEM,EFHF,Helsinki-Malmi Airport,"Helsinki, Finland",UTC+02:00,Mar-Oct
TLL,EETN,Tallinn Airport (Lennart Meri Tallinn Airport),"Tallinn, Estonia"
WAW,EPWA,Warsaw Chopin Airport,"Warsaw, Poland"
PEK,ZBAA,Beijing Capital International Airport,"Beijing, China"
PVG,ZSPD,Shanghai Pudong International Airport,"Shanghai, China"
AMS,EHAM,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",UTC+01:00,Mar-Oct
LED,ULLI,Pulkovo Airport,"Saint Petersburg, Russia",UTC+03:00,
KRR,URKK,Krasnodar International Airport (Pashkovsky Airport),"Krasnodar, Krasnodar Krai, Russia",UTC+03:00,
VOG,URWW,Volgograd International Airport,"Volgograd, Volgograd Oblast, Russia"
KZN,UWKD,Kazan International Airport,"Kazan, Tatarstan, Russia",UTC+03:00,
FRA,EDDF,Frankfurt Airport,"Frankfurt, Hessen, Germany",UTC+01:00,Mar-Oct
KVX,USKK,Pobedilovo Airport,"Kirov, Kirov Oblast, Russia",UTC+03:00,
SVO,UUEE,Sheremetyevo International Airport,"Moscow, Russia"
KJA,UNKL,Yemelyanovo International Airport,"Krasnoyarsk, Krasnoyarsk Krai, Russia",UTC+07:00,
OSR,LKMT,Leoš Janáček Airport Ostrava,"Ostrava, Czech Republic"
ICN,RKSI,Incheon International Airport,"Seoul, South Korea",UTC+09:00,
BDU,ENDU,Bardufoss Airport,"Bardufoss, Norway",UTC+01:00,Mar-Oct
RIX,EVRA,Riga International Airport,"Riga, Latvia"
VKO,UUWW,Vnukovo International Airport,"Moscow, Russia"
YKS,UEEE,Yakutsk Airport,"Yakutsk, Yakutia, Russia"
LLA,ESPA,Luleå Airport (Kallax Airport),"Luleå, Sweden",UTC+01:00,Mar-Oct
CDG,LFPG,Charles de Gaulle Airport (Roissy Airport),"Paris, Île-de-France, France",UTC+01:00,Mar–Oct
AES,ENAL,"Ålesund Airport, Vigra","Ålesund, Norway",UTC+01:00,Mar-Oct
KUN,EYKA,Kaunas International Airport,"Kaunas, Lithuania",UTC+02:00,Mar–Oct
MHQ,EFMA,Mariehamn Airport,"Mariehamn, Åland Islands, Finland",UTC+02:00,Mar-Oct
VIE,LOWW,Vienna International Airport,"Vienna, Austria"
CPH,EKCH,"Copenhagen Airport, Kastrup","Copenhagen, Denmark",UTC+01:00,Mar–Oct
SKP,LWSK,"Skopje ""Alexander the Great"" Airport","Skopje, North Macedonia"
TRF,ENTO,"Sandefjord Airport, Torp","Sandefjord / Oslo, Norway"
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport","Szczecin, Poland"
GSE,ESGP,Göteborg City Airport,"Gothenburg, Sweden",UTC+01:00,Mar-Oct
SVG,ENZV,"Stavanger Airport, Sola","Stavanger, Norway"
THN,ESGT,Trollhättan–Vänersborg Airport,"Trollhättan / Vänersborg, Sweden"
AGP,LEMG,Málaga Airport,"Málaga, Andalusia, Spain",UTC+01:00,Mar-Oct
BGO,ENBR,"Bergen Airport, Flesland","Bergen, Norway",UTC+01:00,Mar-Oct
GDN,EPGD,Gdańsk Lech Wałęsa Airport,"Gdańsk, Poland",UTC+01:00,Mar-Oct
KRP,EKKA,Karup Airport,"Karup, Denmark",UTC+01:00,Mar–Oct
BYR,EKLS,Læsø Airport,"Læsø, Denmark",UTC+01:00,Mar-Oct
KEF,BIKF,Keflavík International Airport,"Reykjavík, Iceland",UTC±00:00,
LPI,ESSL,Linköping/Saab Airport,"Linköping, Sweden",UTC+01:00,Mar-Oct
SPU,LDSP,Split Airport,"Split, Croatia"
KRK,EPKK,John Paul II International Airport Kraków–Balice,"Kraków, Poland",UTC+01:00,Mar–Oct
DOH,OTHH,Hamad International Airport,"Doha, Qatar",UTC+03:00,
LGW,EGKK,Gatwick Airport,"London, England, United Kingdom",UTC±00:00,Mar-Oct
DUB,EIDW,Dublin Airport,"Dublin, Ireland",UTC±00:00,Mar-Oct
KSD,ESOK,Karlstad Airport,"Karlstad, Sweden",UTC+01:00,Mar–Oct
WRO,EPWR,Copernicus Airport Wrocław,"Wrocław, Poland"
KVB,ESGR,Skövde Airport,"Skövde, Sweden",UTC+01:00,Mar–Oct
